Created_at,Text
Mon Dec 31 23:53:06 +0000 2018,HAPPY NEW YEAR! https://t.co/bHoPDPQ7G6
Mon Dec 31 20:02:52 +0000 2018,"....Senator Schumer, more than a year longer than any other Administration in history. These are people who have been approved by committees and all others, yet Schumer continues to hold them back from serving their Country! Very Unfair!"
Mon Dec 31 20:02:52 +0000 2018,Heads of countries are calling wanting to know why Senator Schumer is not approving their otherwise approved Ambassadors!? Likewise in Government lawyers and others are being delayed at a record pace! 360 great and hardworking people are waiting for approval from....
Mon Dec 31 15:39:15 +0000 2018,"It’s incredible how Democrats can all use their ridiculous sound bite and say that a Wall doesn’t work. It does, and properly built, almost 100%! They say it’s old technology - but so is the wheel. They now say it is immoral- but it is far more immoral for people to be dying!"
Mon Dec 31 15:37:14 +0000 2018,"I’m in the Oval Office. Democrats, come back from vacation now and give us the votes necessary for Border Security, including the Wall. You voted yes in 2006 and 2013. One more yes, but with me in office, I’ll get it built, and Fast!"
Mon Dec 31 15:33:15 +0000 2018,"I’m in the Oval Office. Democrats, come back from vacation now and give us the votes necessary for Border Security, including the Wall. You voted yes in 2006 and 3013. One more yes, but with me in office, I’ll get it built, and Fast!"
Mon Dec 31 14:38:52 +0000 2018,"I am the only person in America who could say that, “I’m bringing our great troops back home, with victory,” and get BAD press. It is Fake News and Pundits who have FAILED for years that are doing the complaining. If I stayed in Endless Wars forever, they would still be unhappy!"
Mon Dec 31 13:29:32 +0000 2018,"I campaigned on Border Security, which you cannot have without a strong and powerful Wall. Our Southern Border has long been an “Open Wound,” where drugs, criminals (including human traffickers) and illegals would pour into our Country. Dems should get back here an fix now!"
Mon Dec 31 13:19:13 +0000 2018,".....Except the results are FAR BETTER than I ever said they were going to be! I campaigned against the NEVER ENDING WARS, remember!"
Mon Dec 31 13:12:40 +0000 2018,"...I campaigned on getting out of Syria and other places. Now when I start getting out the Fake News Media, or some failed Generals who were unable to do the job before I arrived, like to complain about me &amp; my tactics, which are working. Just doing what I said I was going to do!"
